sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	CFC113_D_CONC_BOTTLE [pmol/kg]	SF6_D_CONC_BOTTLE [fmol/kg]	He_D_CONC_BOTTLE [nmol/kg]	Ne_D_CONC_BOTTLE [nmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	PHOSPHATE_LL_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRATE_LL_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	NITRITE_LL_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	DIC_13_12_D_DELTA_BOTTLE [per mil]	He_3_4_D_DELTA_BOTTLE [per mil]	TRITIUM_D_CONC_BOTTLE [TU]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	NITRATE_15_14_D_DELTA_BOTTLE [per mil]	SILICATE_30_28_D_DELTA_BOTTLE [per mil]	SALINITY_D_CONC_PUMP	PHOSPHATE_LL_D_CONC_FISH [umol/kg]	NITRATE_LL_D_CONC_FISH [umol/kg]	NITRITE_LL_D_CONC_FISH [umol/kg]	SALINITY_D_CONC_UWAY	DOC_D_CONC_UWAY [umol/kg]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Cu_D_CONC_BOTTLE [nmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Fe_II_D_CONC_BOTTLE [nmol/kg]	Fe_S_CONC_BOTTLE [nmol/kg]	Ga_D_CONC_BOTTLE [pmol/kg]	Hg_D_CONC_BOTTLE [pmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Ce_D_CONC_BOTTLE [pmol/kg]	Pr_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Sm_D_CONC_BOTTLE [pmol/kg]	Eu_D_CONC_BOTTLE [pmol/kg]	Gd_D_CONC_BOTTLE [pmol/kg]	Tb_D_CONC_BOTTLE [pmol/kg]	Dy_D_CONC_BOTTLE [pmol/kg]	Ho_D_CONC_BOTTLE [pmol/kg]	Er_D_CONC_BOTTLE [pmol/kg]	Tm_D_CONC_BOTTLE [pmol/kg]	Yb_D_CONC_BOTTLE [pmol/kg]	Lu_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Pb_206_204_D_RATIO_BOTTLE	Pb_206_207_D_RATIO_BOTTLE	Pb_208_207_D_RATIO_BOTTLE	Cd_114_110_D_DELTA_BOTTLE [per mil]	Fe_56_54_D_DELTA_BOTTLE [per mil]	Zn_66_64_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Pb_210_D_CONC_BOTTLE [mBq/kg]	Po_210_D_CONC_BOTTLE [mBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Ra_223_D_CONC_PUMP [mBq/kg]	Ra_224_D_CONC_PUMP [mBq/kg]	Ra_226_D_CONC_PUMP [mBq/kg]	Ra_228_D_CONC_PUMP [mBq/kg]	Th_228_D_CONC_PUMP [uBq/kg]	Al_D_CONC_FISH [nmol/kg]	Cd_D_CONC_FISH [nmol/kg]	Co_D_CONC_FISH [pmol/kg]	Cu_D_CONC_FISH [nmol/kg]	Fe_D_CONC_FISH [nmol/kg]	Fe_II_D_CONC_FISH [nmol/kg]	Fe_S_CONC_FISH [nmol/kg]	Ga_D_CONC_FISH [pmol/kg]	Hg_D_CONC_FISH [pmol/kg]	Mn_D_CONC_FISH [nmol/kg]	Ni_D_CONC_FISH [nmol/kg]	Pb_D_CONC_FISH [pmol/kg]	Zn_D_CONC_FISH [nmol/kg]	Y_D_CONC_FISH [pmol/kg]	La_D_CONC_FISH [pmol/kg]	Ce_D_CONC_FISH [pmol/kg]	Pr_D_CONC_FISH [pmol/kg]	Nd_D_CONC_FISH [pmol/kg]	Sm_D_CONC_FISH [pmol/kg]	Eu_D_CONC_FISH [pmol/kg]	Gd_D_CONC_FISH [pmol/kg]	Tb_D_CONC_FISH [pmol/kg]	Dy_D_CONC_FISH [pmol/kg]	Ho_D_CONC_FISH [pmol/kg]	Er_D_CONC_FISH [pmol/kg]	Tm_D_CONC_FISH [pmol/kg]	Yb_D_CONC_FISH [pmol/kg]	Lu_D_CONC_FISH [pmol/kg]	Nd_143_144_D_EPSILON_FISH [per 10000]	Pb_206_204_D_RATIO_FISH	Pb_206_207_D_RATIO_FISH	Pb_208_207_D_RATIO_FISH	Fe_56_54_D_DELTA_FISH [per mil]	Zn_66_64_D_DELTA_FISH [per mil]	Pa_231_D_CONC_FISH [uBq/kg]	Th_230_D_CONC_FISH [uBq/kg]	Th_232_D_CONC_FISH [pmol/kg]	L1Cu_D_CONC_BOTTLE [nmol/kg]	L1Cu_D_LogK_BOTTLE	L1Fe_D_CONC_BOTTLE [nmol/kg]	L1Fe_D_LogK_BOTTLE	L2Fe_D_CONC_BOTTLE [nmol/kg]	L2Fe_D_LogK_BOTTLE	L1Cu_D_CONC_FISH [nmol/kg]	L1Cu_D_LogK_FISH	L1Fe_D_CONC_FISH [nmol/kg]	L1Fe_D_LogK_FISH	L2Fe_D_CONC_FISH [nmol/kg]	L2Fe_D_LogK_FISH	P_TP_CONC_BOTTLE [nmol P/kg]	P_TPL_CONC_BOTTLE [nmol P/kg]	Al_TP_CONC_BOTTLE [nmol/kg]	Al_TPL_CONC_BOTTLE [nmol/kg]	Al_TPR_CONC_BOTTLE [nmol/kg]	Cd_TP_CONC_BOTTLE [pmol/kg]	Cd_TPL_CONC_BOTTLE [pmol/kg]	Cd_TPR_CONC_BOTTLE [pmol/kg]	Co_TP_CONC_BOTTLE [pmol/kg]	Co_TPL_CONC_BOTTLE [pmol/kg]	Co_TPR_CONC_BOTTLE [pmol/kg]	Fe_TP_CONC_BOTTLE [nmol/kg]	Fe_TPL_CONC_BOTTLE [nmol/kg]	Fe_TPR_CONC_BOTTLE [nmol/kg]	Mn_TP_CONC_BOTTLE [nmol/kg]	Mn_TPL_CONC_BOTTLE [nmol/kg]	Mn_TPR_CONC_BOTTLE [nmol/kg]	P_TPR_CONC_BOTTLE [nmol/kg]	Ti_TP_CONC_BOTTLE [nmol/kg]	Ti_TPL_CONC_BOTTLE [nmol/kg]	Ti_TPR_CONC_BOTTLE [nmol/kg]	Ag_LPT_CONC_PUMP [pmol/kg]	Ag_SPT_CONC_PUMP [pmol/kg]	Al_LPT_CONC_PUMP [nmol/kg]	Al_SPT_CONC_PUMP [nmol/kg]	Ba_LPT_CONC_PUMP [pmol/kg]	Ba_SPT_CONC_PUMP [pmol/kg]	Cd_LPT_CONC_PUMP [pmol/kg]	Cd_SPT_CONC_PUMP [pmol/kg]	Co_LPT_CONC_PUMP [pmol/kg]	Co_SPT_CONC_PUMP [pmol/kg]	Cu_LPT_CONC_PUMP [pmol/kg]	Cu_SPT_CONC_PUMP [pmol/kg]	Fe_LPT_CONC_PUMP [nmol/kg]	Fe_SPT_CONC_PUMP [nmol/kg]	Mn_LPT_CONC_PUMP [nmol/kg]	Mn_SPT_CONC_PUMP [nmol/kg]	Ni_LPT_CONC_PUMP [pmol/kg]	Ni_SPT_CONC_PUMP [pmol/kg]	P_LPT_CONC_PUMP [nmol/kg]	P_SPT_CONC_PUMP [nmol/kg]	Pb_LPT_CONC_PUMP [pmol/kg]	Pb_SPT_CONC_PUMP [pmol/kg]	Th_LPT_CONC_PUMP [pmol/kg]	Th_SPT_CONC_PUMP [pmol/kg]	Ti_LPT_CONC_PUMP [pmol/kg]	Ti_SPT_CONC_PUMP [pmol/kg]	V_LPT_CONC_PUMP [pmol/kg]	V_SPT_CONC_PUMP [pmol/kg]	Y_LPT_CONC_PUMP [pmol/kg]	Y_SPT_CONC_PUMP [pmol/kg]	Nd_LPT_CONC_PUMP [pmol/kg]	Nd_SPT_CONC_PUMP [pmol/kg]	Pa_231_SPT_CONC_PUMP [uBq/kg]	Th_228_SPT_CONC_PUMP [uBq/kg]	Th_230_SPT_CONC_PUMP [uBq/kg]	Th_232_SPT_CONC_PUMP [pmol/kg]	Th_234_SPT_CONC_PUMP [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0108	GA03	KN204-1	Station 14	1646606	845654	27.583	-49.63290000000001	113.8	4423	114.6	21.166	36.948002	36.945	2.088	1.285	0.154	1.299	1.696	6.752	209.5	209	0.05	0.009854	0.1	0.01	0.075024	0.1	0.109756	NA	NA	NA	0.68	-12.6	0.541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.536585	43.200001	8e-4	41.951221	0.790244	0.163902	0.214634	0.141	41.200001	0.390244	1.058537	NA	21	0.07622	117	13.2	10.76	2.72	13.8	2.87	0.78	4.46	0.64	5.37	1.22	4.49	0.553	3.92	0.548	NA	NA	1.176	2.447	1.355	0.38	0.14	0.908752	NA	NA	1.44343	0.265342	44.390244	0.003252	0.107317	1.432488	0.419512	143.089767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.985366	13.35	1.434146	12.12	0	0	NA	NA	NA	NA	NA	NA	3.295278	3.652107	0	0.095649	0.467415	0.097561	0.253659	NA	1.073171	1.414634	0.273171	0.151122	0.061405	0.221629	0.034829	0.047717	6.93e-4	0.7188	0.00239	7.80487826e-5	0.01519	0.002722	0.154146	0.360976	0.407805	14.048781	46.341465	0.064878	0.478049	0.105366	2.692683	0.869268	17.756098	0.099512	0.17561	0.007356	0.097561	2.604878	18.146341	0.387317	6.995122	0.033659	0.533659	0.004468	0.010537	13.853659	17.95122	1.317073	2.429268	0.04361	0.247805	0.028878	0.114146	NA	8.129756	NA	NA	1.583707	0.287805
S0109	GA03	KN204-1	Station 14	1646606	845657	27.583	-49.63290000000001	133.7	4423	134.6	20.306	36.831001	36.832001	2.143	1.309	0.142	1.314	1.7	6.785	206.199997	206.6	0	0.01522	0.1	0.14	0.334341	0.07	0.054732	NA	NA	NA	0.84	-12.8	0.574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.614634	43.299999	0.005478	43.902439	0.795122	0.143902	0.165854	0.149	40.700001	0.390244	0.859512	NA	20.9	0.16439	117	13.1	9.6	2.66	13.6	2.84	0.78	4.39	0.63	5.35	1.24	4.54	0.554	3.88	0.548	NA	NA	1.176	2.447	0.935	0.42	0.18	0.8738	NA	NA	1.359863	0.232115	42.117073	0	0.149593	1.286146	0.239024	141.463425	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1.180488	11.88	NA	NA	NA	NA	NA	NA	1.346	3.652107	0.077561	0.095649	0.467415	0.097561	0.253659	NA	0.390244	1.414634	0.273171	0.12361	0.061405	0.221629	0.020683	0.047717	6.93e-4	0.7188	0.01961	7.80487826e-5	0.01519	0.003161	0.083707	0.45561	0.600976	7.190244	90.731705	0.036195	0.347317	0.108293	1.346341	0.995122	13.658537	0.117073	0.217561	0.010341	0.066634	3.687805	13.073171	0.194146	3.765854	0.04078	0.26439	0.005766	0.009141	18.634146	22.634146	6.604878	2.126829	0.065951	0.179512	0.041951	0.095707	NA	6.50439	NA	NA	1.344683	0.235805
S0110	GA03	KN204-1	Station 14	1646606	845660	27.583	-49.63290000000001	183.8	4423	185.1	18.911	36.675999	36.668999	2.268	1.372	0.056	1.232	1.71	6.914	190.100006	189.5	0.07	0.130049	0.58	2.72	1.154146	0	0.009756	NA	NA	NA	0.56	-10.9	0.545	NA	NA	2.78	NA	NA	NA	NA	NA	NA	NA	27.395123	43.400002	0.014456	51.707317	0.795122	0.31561	0.185366	0.259	45.099998	0.585366	0.265366	NA	19.5	0.13	121.900002	14.8	8.59	2.92	14.7	3.13	0.85	4.83	0.69	5.66	1.3	4.71	0.588	4.15	0.577	NA	NA	NA	NA	0.51	0.48	-0.14	0.996132	NA	NA	2.05119	0.276849	42.439026	0.001626	0.068293	1.269951	0.284553	32.52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.287805	12.06	0.897561	11.18	NA	NA	NA	NA	NA	NA	0.769454	NA	0.552976	NA	NA	0	NA	NA	0.390244	NA	NA	0.248488	NA	NA	0.042439	NA	NA	NA	0.019415	NA	NA	0.004176	0.08361	0.71122	1.590244	16.780487	197.073181	0.025268	0.261463	0.147317	1.063415	1.151219	13.463415	0.22439	0.478049	0.016683	0.126829	4.224391	14.829268	0.126829	2.126829	0.072585	0.469268	0.007512	0.028878	27.024389	56.585365	1.121951	2.585366	0.078829	0.341463	0.050146	0.195122	NA	8.129756	NA	NA	1.492683	0.234146
S0111	GA03	KN204-1	Station 14	1646606	845663	27.583	-49.63290000000001	233.6	4423	235.3	18.143	36.570999	36.570999	2.327	1.395	0.04	1.161	1.713	7.018	193.300003	193.3	0.18	NA	0.78	4.26	NA	0	NA	NA	NA	NA	NA	-3.8	0.519	NA	NA	2.51	NA	NA	NA	NA	NA	NA	NA	29.95122	43	0.025834	53.658539	0.795122	0.398049	0.214634	0.221	40.900002	0.487805	0.16	NA	23.9	0.174756	125.599998	15.6	8.12	3.09	15.4	3.28	0.89	4.91	0.71	5.77	1.34	4.76	0.59	4.15	0.594	NA	NA	NA	NA	0.41	0.57	-0.13	1.031084	NA	NA	2.514607	0.295811	41.463413	0.003252	0.112195	1.321951	0.190244	22.763903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.063415	12.43	0.692683	11.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.003815	0.076683	0.913171	3.785366	18.926828	188.292679	0.035805	0.226341	0.17561	1.112195	1.492683	16.390244	0.238049	1.034146	0.017854	0.118049	5.37561	14.731707	0.094244	1.317073	0.086341	0.479024	0.011415	0.038244	38.634148	128.780487	1.034146	5.219512	0.118049	0.303415	0.079415	0.234146	NA	11.382439	NA	NA	1.403219	0.208098
S0112	GA03	KN204-1	Station 14	1646606	845666	27.583	-49.63290000000001	285	4423	287.1	17.668	36.491001	36.493	2.382	1.411	0.028	1.196	1.722	6.855	198.300003	197.9	0.22	NA	0.97	4.91	NA	0	NA	NA	NA	NA	0.6	-4.9	0.542	NA	NA	2.83	NA	NA	NA	NA	NA	NA	NA	34.224388	42.900002	0.029184	55.609756	0.809756	0.360976	0.204878	0.161	39.599998	0.585366	0.156098	NA	19.85	0.12122	126.400002	16.200001	7.96	3.18	15.9	3.31	0.91	5.06	0.72	5.86	1.35	4.89	0.601	4.22	0.607	NA	NA	NA	NA	0.48	0.65	0.27	NA	NA	NA	NA	NA	45.365852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.97561	13.45	1.180488	12.14	0	0	NA	NA	NA	NA	NA	NA	0.579727	NA	1.50722	NA	NA	0	NA	NA	0.585366	NA	NA	0.489854	NA	NA	0.038049	NA	NA	NA	0.052888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S0082	GA03	KN204-1	Station 10	1646459	844712	31.75	-64.16949	41.8	4568	42.1	24.134	36.546001	36.537998	1.791	1.115	0.183	1.244	1.679	6.559	208.600006	209.1	0	0.009561	0.19	0.01	0.057659	0	0.00361	NA	NA	NA	0.93	-14.9	0.603	NA	NA	11.76	NA	NA	NA	NA	NA	NA	NA	32.243904	44.299999	0.006728	29.268293	1	0.466829	0.117073	0.14	47.599998	0.682927	1.893171	NA	18.6	0.237805	121.300003	13.6	10.73	2.88	14.6	3.18	0.87	4.86	0.72	5.89	1.35	4.88	0.595	4.18	0.608	NA	18.370001	1.178	2.45	NA	0.43	-0.55	0.606417	2.912	1.05	1.06358	0.37946	40.809757	0.003252	0.091057	1.445561	0.752846	173.983414	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.629268	13.85	1.102439	12.37	0.653659	11.25	NA	NA	NA	NA	NA	NA	NA	6.711678	NA	0.241317	1.993366	NA	0.643902	0.019512	NA	2.585366	0.907317	NA	0.1116	0.415327	NA	0.097024	0.007541	2.257063	NA	3.22e-4	0.062624	NA	0.148293	0.326829	0.25561	69.170731	7.64878	0.12	0.228293	0.24878	2.185366	1.278049	20	0.073756	0.134634	0.013073	0.113171	0.760976	6.829268	0.887805	4.360976	0.043512	0.339512	0.005327	0.009951	9.95122	NA	2.478049	1.2	0.101463	0.697561	NA	0.149268	NA	8.129756	NA	NA	1.894341	0.253659
S0083	GA03	KN204-1	Station 10	1646459	844715	31.75	-64.16949	75.7	4568	76.2	24.189	36.603001	36.59	1.786	1.103	0.159	1.246	1.683	6.581	208.699997	209.1	0	0.009951	0.1	0	0.111707	0	0.007902	NA	NA	NA	1.03	-15.9	0.601	NA	NA	13.39	NA	NA	NA	NA	NA	NA	NA	31.619513	44.200001	2e-4	29.268293	0.902439	0.485366	0.126829	0.112	45.099998	0.682927	1.598049	NA	34.200001	0.144878	119	13.1	10.67	2.81	14	3.03	0.86	4.68	0.68	5.67	1.31	4.68	0.584	3.97	0.589	NA	18.33	1.167	2.441	NA	0.42	-0.35	0.667583	2.713	1.267	1.116759	0.371444	43.414635	0.003252	0.089431	1.401659	0.653659	172.358047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.414634	14.35	1.317073	12.21	0.770732	11.32	NA	NA	NA	NA	NA	NA	11.074712	15.113746	0.715024	0.447688	1.819415	0.878049	2.526829	NA	3.609756	1.756098	0.780488	0.418341	0.102488	0.292371	0.078634	0.265893	NA	0.03881	0.078546	NA	0.078556	NA	0.163902	0.469268	0.373659	46.146343	18.439024	0.105366	0.317073	0.257561	2.234146	1.258537	19.609756	0.105366	0.15122	0.011122	0.095024	0.886829	8.019512	0.641951	5.063415	0.042244	0.315122	0.007327	0.009707	20.292683	NA	1.678049	1.131707	0.108293	0.289756	NA	0.140488	NA	4.878049	NA	NA	1.367512	0.242244
S0084	GA03	KN204-1	Station 10	1646459	844718	31.75	-64.16949	89.1	4568	89.7	22.116	36.664001	36.662998	2.055	1.252	0.162	1.274	1.718	6.861	219.5	219.8	0	0.009951	0	0.07	0.111707	0.03	0.007902	NA	NA	NA	0.91	-9.4	0.563	NA	NA	8.21	NA	NA	NA	NA	NA	NA	NA	31.619513	44.200001	2e-4	29.268293	0.902439	0.485366	0.126829	0.112	45.099998	0.682927	1.598049	NA	34.200001	0.144878	119	13.1	10.67	2.81	14	3.03	0.86	4.68	0.68	5.67	1.31	4.68	0.584	3.97	0.589	NA	18.33	1.167	2.441	0.345	0.42	-0.35	0.802148	2.168	1.283	1.040789	0.305033	40.487804	0	0.084553	1.359317	0.554471	147.967804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.414634	14.35	1.317073	12.21	0.770732	11.32	NA	NA	NA	NA	NA	NA	11.074712	15.113746	0.715024	0.447688	1.819415	0.878049	2.526829	NA	3.609756	1.756098	0.780488	0.418341	0.102488	0.292371	0.078634	0.265893	NA	0.03881	0.078546	NA	0.078556	NA	0.152195	0.534634	0.356098	19.12195	61.463413	0.073463	3.414634	0.166829	1.77561	1.02439	10.146342	0.116098	0.127805	0.016293	0.086341	1.463415	8.995122	0.414634	3.882927	0.051512	0.372683	0.00721	0.007844	18.146341	NA	2.009756	1.395122	0.125854	0.306341	NA	0.143415	NA	8.129756	NA	NA	1.608098	0.37239
S0085	GA03	KN204-1	Station 10	1646459	844721	31.75	-64.16949	109.7	4568	110.5	20.552	36.722	36.720001	2.126	1.282	0.084	1.268	1.698	6.903	190.199997	189.7	0.1	0.103707	0.49	2.09	1.176683	0.02	0.053756	NA	NA	NA	0.61	-10.6	0.519	NA	NA	2.43	NA	NA	NA	NA	NA	NA	NA	30	44.5	0.009278	63.414635	0.882927	0.261463	0.058537	0.143	18.200001	0.682927	0.63561	NA	20.75	0.236098	114.800003	12.6	7.94	2.61	13.5	2.89	0.78	4.49	0.65	5.46	1.25	4.56	0.56	3.88	0.57	NA	18.209999	1.172	2.444	0.345	0.57	-0.55	0.782925	1.69	2.283	1.359863	0.295768	40.321953	0.001626	0.034146	1.463415	0.499187	82.926826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.639024	13.35	0.8	12.39	0.936585	11.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.116098	1.034146	0.678049	62.243904	81.853661	0.228293	0.741463	0.198049	1.239024	1.590244	11.707317	0.193171	0.141463	0.016	0.056195	3.258537	12.780488	0.592195	3.160976	0.07961	0.256585	0.01278	0.011122	29.756098	NA	2.068293	1.882927	0.226341	0.500488	NA	0.199024	NA	8.129756	NA	NA	2.045561	0.790244
S0086	GA03	KN204-1	Station 10	1646459	844724	31.75	-64.16949	182.4	4568	183.8	18.481	36.591	36.591999	2.287	1.369	0.116	1.35	1.704	6.845	202.100006	203.9	0.05	0.114439	0.49	2.14	1.216683	0	0.01961	NA	NA	NA	0.56	-12	0.557	NA	NA	3.89	NA	NA	NA	NA	NA	NA	NA	28.195122	44.299999	0.008	50.691463	0.926829	0.16	0.146341	0.097	37.599998	0.585366	0.454634	2.21	18.1	0.182439	124.849998	13.1	6.65	2.64	13.6	2.93	0.8	4.54	0.66	5.55	1.28	4.59	0.577	4.04	0.575	NA	18.42	1.178	2.449	0.405	0.25	-0.47	0.826615	1.98	1.6	1.602967	0.260774	43.736588	0.003252	0.131707	1.305658	0.41626	230.894638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8	12.27	0.702439	11	NA	NA	NA	NA	NA	NA	3.376205	NA	1.47239	NA	NA	0.195122	NA	NA	1.268293	NA	NA	0.465854	NA	NA	0.134732	NA	NA	NA	0.077141	NA	NA	NA	0.098537	0.364878	0.78439	17.268293	120.975609	0.019122	0.281951	0.105366	0.85561	0.76	14.536585	0.078732	0.230244	0.01561	0.113171	1.073171	11.902439	0.117073	1.619512	0.05678	0.341463	0.005951	0.018049	13.756098	27.707317	0.502439	1.736585	0.12878	0.437073	NA	0.233171	NA	9.756098	NA	NA	1.718732	0.393463
S0087	GA03	KN204-1	Station 10	1646459	844727	31.75	-64.16949	233.3	4568	235.1	18.246	36.591	36.589001	2.276	1.367	0.062	1.306	1.71	6.876	204.600006	205.4	0.14	NA	0.78	3.45	NA	0	NA	NA	NA	NA	0.77	-10.4	0.533	NA	NA	2.53	NA	NA	NA	NA	NA	NA	NA	32.799999	44	0.0175	48.22805	0.878049	0.26	0.126829	0.124	38.75	0.585366	0.301463	2.18	18.200001	0.210732	125.75	13.65	6.37	2.78	14.4	3.14	0.84	4.77	0.69	5.71	1.31	4.71	0.576	4.1	0.581	NA	18.41	1.176	2.448	0.28	0.45	-0.57	0.92448	NA	NA	2.149951	0.38174399999999997	46.341465	NA	0.128456	1.562634	0.494309	360.975616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.868293	12.17	0.673171	11.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.102439	0.49561	1.239024	16.390244	136.585373	0.020195	0.25561	0.195122	1.131707	1.170732	18.243902	0.120976	0.381463	0.022732	0.148293	1.092683	11.414634	0.115122	1.414634	0.08078	0.463415	0.008059	0.029561	18.04878	47.512196	0.74439	2.790244	0.127805	0.554146	NA	0.342439	NA	13.007805	NA	NA	1.869951	0.390244
S0088	GA03	KN204-1	Station 10	1646459	844730	31.75	-64.16949	281.4	4568	283.6	18.072	36.576	36.577	2.34	1.421	0.088	1.326	1.719	7.019	206.899994	206.4	0.15	NA	0.88	3.61	NA	0	NA	NA	NA	NA	0.63	-9.8	0.546	NA	NA	2.66	NA	NA	NA	NA	NA	NA	NA	32.858536	44.700001	0.0214	46.140244	0.926829	0.278049	0.195122	0.147	39.75	0.585366	0.27	2.19	18.4	0.24	125.75	13.8	6.32	2.86	14.8	3.11	0.86	4.79	0.71	5.72	1.31	4.73	0.595	4.12	0.592	NA	18.4	1.177	2.448	0.33	0.58	-0.32	0.931471	2.383	1.717	2.499413	0.708929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.453658	13.6	0.956098	12.05	0.62439	11.26	NA	NA	NA	NA	NA	NA	2.786712	NA	3.688293	NA	NA	0.195122	NA	NA	2.146342	NA	NA	0.824976	NA	NA	0.19961	NA	NA	NA	0.10199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
