/* DATA DESCRIPTION:
	TARA_028 * LATITUDE: 34.278500 * LONGITUDE: 32.985300 * DATE/TIME START: 2009-12-04T00:00:00 * DATE/TIME END: 2009-12-04T00:00:00 * CAMPAIGN: TARA_20091128Z (Athens to Beyrouth, Stations: TARA_027-028) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_029 * LATITUDE: 33.927800 * LONGITUDE: 35.342000 * DATE/TIME START: 2009-12-14T00:00:00 * DATE/TIME END: 2009-12-14T00:00:00 * CAMPAIGN: TARA_20091214Z (Beyrouth to Alexandria, Stations: TARA_029-030) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_030 * LATITUDE: 33.928800 * LONGITUDE: 32.789000 * DATE/TIME START: 2009-12-15T00:00:00 * DATE/TIME END: 2009-12-15T00:00:00 * CAMPAIGN: TARA_20091214Z (Beyrouth to Alexandria, Stations: TARA_029-030) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_031 * LATITUDE: 27.150900 * LONGITUDE: 34.819200 * DATE/TIME START: 2010-01-09T00:00:00 * DATE/TIME END: 2010-01-09T00:00:00 * CAMPAIGN: TARA_20100108Z (Sharm El Sheikh to Jeddah, Stations: TARA_031-033) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_032 * LATITUDE: 23.390900 * LONGITUDE: 37.254200 * DATE/TIME START: 2010-01-11T00:00:00 * DATE/TIME END: 2010-01-11T00:00:00 * CAMPAIGN: TARA_20100108Z (Sharm El Sheikh to Jeddah, Stations: TARA_031-033) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_033 * LATITUDE: 22.056700 * LONGITUDE: 38.218400 * DATE/TIME START: 2010-01-13T00:00:00 * DATE/TIME END: 2010-01-13T00:00:00 * CAMPAIGN: TARA_20100108Z (Sharm El Sheikh to Jeddah, Stations: TARA_031-033) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_034 * LATITUDE: 18.445000 * LONGITUDE: 39.884200 * DATE/TIME START: 2010-01-20T00:00:00 * DATE/TIME END: 2010-01-20T00:00:00 * CAMPAIGN: TARA_20100118Z (Jeddah to Djibouti, Stations: TARA_034) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_036 * LATITUDE: 20.824100 * LONGITUDE: 63.524500 * DATE/TIME START: 2010-03-12T00:00:00 * DATE/TIME END: 2010-03-12T00:00:00 * CAMPAIGN: TARA_20100309Z (Muscat to Mumbai, Stations: TARA_036-040) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_037 * LATITUDE: 20.827700 * LONGITUDE: 63.600500 * DATE/TIME START: 2010-03-12T00:00:00 * DATE/TIME END: 2010-03-13T00:00:00 * CAMPAIGN: TARA_20100309Z (Muscat to Mumbai, Stations: TARA_036-040) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_038 * LATITUDE: 19.017400 * LONGITUDE: 64.576100 * DATE/TIME START: 2010-03-15T00:00:00 * DATE/TIME END: 2010-03-16T00:00:00 * CAMPAIGN: TARA_20100309Z (Muscat to Mumbai, Stations: TARA_036-040) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_039 * LATITUDE: 18.646900 * LONGITUDE: 66.462700 * DATE/TIME START: 2010-03-18T00:00:00 * DATE/TIME END: 2010-03-20T00:00:00 * CAMPAIGN: TARA_20100309Z (Muscat to Mumbai, Stations: TARA_036-040) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_040 * LATITUDE: 17.500300 * LONGITUDE: 67.983500 * DATE/TIME START: 2010-03-22T00:00:00 * DATE/TIME END: 2010-03-22T00:00:00 * CAMPAIGN: TARA_20100309Z (Muscat to Mumbai, Stations: TARA_036-040) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_041 * LATITUDE: 14.581600 * LONGITUDE: 70.011000 * DATE/TIME START: 2010-03-29T00:00:00 * DATE/TIME END: 2010-03-30T00:00:00 * CAMPAIGN: TARA_20100327Z (Mumbai to Malé, Stations: TARA_041-043) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_042 * LATITUDE: 5.992500 * LONGITUDE: 73.919000 * DATE/TIME START: 2010-04-04T00:00:00 * DATE/TIME END: 2010-04-04T00:00:00 * CAMPAIGN: TARA_20100327Z (Mumbai to Malé, Stations: TARA_041-043) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_043 * LATITUDE: 4.660400 * LONGITUDE: 73.489000 * DATE/TIME START: 2010-04-05T00:00:00 * DATE/TIME END: 2010-04-05T00:00:00 * CAMPAIGN: TARA_20100327Z (Mumbai to Malé, Stations: TARA_041-043) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_044 * LATITUDE: 2.806000 * LONGITUDE: 71.520100 * DATE/TIME START: 2010-04-11T00:00:00 * DATE/TIME END: 2010-04-11T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_045 * LATITUDE: 0.941000 * LONGITUDE: 71.709600 * DATE/TIME START: 2010-04-12T00:00:00 * DATE/TIME END: 2010-04-13T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_046 * LATITUDE: -0.658600 * LONGITUDE: 73.162000 * DATE/TIME START: 2010-04-15T00:00:00 * DATE/TIME END: 2010-04-15T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_047 * LATITUDE: -2.041600 * LONGITUDE: 72.163900 * DATE/TIME START: 2010-04-16T00:00:00 * DATE/TIME END: 2010-04-16T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_048 * LATITUDE: -9.408500 * LONGITUDE: 66.319600 * DATE/TIME START: 2010-04-19T00:00:00 * DATE/TIME END: 2010-04-19T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_049 * LATITUDE: -16.808300 * LONGITUDE: 59.504300 * DATE/TIME START: 2010-04-23T00:00:00 * DATE/TIME END: 2010-04-23T00:00:00 * CAMPAIGN: TARA_20100410Z (Malé to Saint Brandon, Stations: TARA_044-049) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_050 * LATITUDE: -21.475900 * LONGITUDE: 56.795200 * DATE/TIME START: 2010-05-08T00:00:00 * DATE/TIME END: 2010-05-09T00:00:00 * CAMPAIGN: TARA_20100508Z (Port Louis to Saint Denis, Stations: TARA_050-051) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_051 * LATITUDE: -21.475900 * LONGITUDE: 54.282700 * DATE/TIME START: 2010-05-10T00:00:00 * DATE/TIME END: 2010-05-11T00:00:00 * CAMPAIGN: TARA_20100508Z (Port Louis to Saint Denis, Stations: TARA_050-051) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_052 * LATITUDE: -17.022900 * LONGITUDE: 53.507700 * DATE/TIME START: 2010-05-17T00:00:00 * DATE/TIME END: 2010-05-17T00:00:00 * CAMPAIGN: TARA_20100515Z (Saint Denis to Antseranana, Stations: TARA_052) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_053 * LATITUDE: -13.070400 * LONGITUDE: 46.922600 * DATE/TIME START: 2010-05-24T00:00:00 * DATE/TIME END: 2010-05-25T00:00:00 * CAMPAIGN: TARA_20100523Z (Atseranana to Mamoudzou, Stations: TARA_053-054) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_054 * LATITUDE: -12.812900 * LONGITUDE: 45.226300 * DATE/TIME START: 2010-05-25T00:00:00 * DATE/TIME END: 2010-05-26T00:00:00 * CAMPAIGN: TARA_20100523Z (Atseranana to Mamoudzou, Stations: TARA_053-054) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_055 * LATITUDE: -14.219200 * LONGITUDE: 43.985100 * DATE/TIME START: 2010-06-25T00:00:00 * DATE/TIME END: 2010-06-25T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
	TARA_056 * LATITUDE: -15.332000 * LONGITUDE: 43.290400 * DATE/TIME START: 2010-06-26T00:00:00 * DATE/TIME END: 2010-06-26T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * DEVICE: Research vessel (RV)
