sample	Cruise	Cruise Name	Station	BODC Station	BODC Bottle Number	Latitude	Longitude	DEPTH [m]	Bot. Depth [m]	PRESSURE [dbar]	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	TN_T_CONC_BOTTLE [umol/kg]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	Al_D_CONC_BOTTLE [nmol/kg]	Ba_D_CONC_BOTTLE [nmol/kg]	Cd_D_CONC_BOTTLE [nmol/kg]	Co_D_CONC_BOTTLE [pmol/kg]	Fe_D_CONC_BOTTLE [nmol/kg]	Mn_D_CONC_BOTTLE [nmol/kg]	Mo_D_CONC_BOTTLE [nmol/kg]	Ni_D_CONC_BOTTLE [nmol/kg]	Pb_D_CONC_BOTTLE [pmol/kg]	U_D_CONC_BOTTLE [nmol/kg]	Zn_D_CONC_BOTTLE [nmol/kg]	Y_D_CONC_BOTTLE [pmol/kg]	La_D_CONC_BOTTLE [pmol/kg]	Nd_D_CONC_BOTTLE [pmol/kg]	Nd_143_144_D_EPSILON_BOTTLE [per 10000]	Cd_114_110_D_DELTA_BOTTLE [per mil]	Pa_231_D_CONC_BOTTLE [uBq/kg]	Th_230_D_CONC_BOTTLE [uBq/kg]	Th_232_D_CONC_BOTTLE [pmol/kg]	Th_234_T_CONC_BOTTLE [mBq/kg]	Th_234_LPT_CONC_PUMP [mBq/kg]
S0227	GA02	JC057	007	1629673	637133	-37.8398	-41.13089000000002	50	5047	50.4	19.736	35.583	NA	NA	NA	NA	231.6	0.09	0.89	0	0.01	2344.399902	2058.800049	172.682938	NA	4.05	0.34	4.536585	45.822437	0.0027	NA	1.31	1.219512	140.062439	2.86	13.77	12.59122	0.07	101.860001	13.43	NA	NA	NA	NA	NA	NA	31.043903	NA
S0228	GA02	JC057	007	1629673	637124	-37.8398	-41.13089000000002	148	5047	149.2	14.966	35.605	NA	NA	NA	NA	223.3	0.42	1.67	4.77	0.03	2342.199951	2104.800049	NA	NA	2.49	0.18	7.463415	46.398048	0.0217	NA	0.75	0.57561	143.865372	2.9	13.63	12.779512	0.11	107.519997	15.09	NA	NA	NA	NA	NA	NA	41.151218	NA
S0229	GA02	JC057	008	1629687	637418	-35.0088	-39.436800000000005	11	4850	11.1	22.088	35.730999	NA	1.796	1.194	219.199997	220.4	0	0.5	0	0.01	2348.199951	2052.399902	192.195114	NA	4.47	0.69	4.663414	45.282928	0.0038	18.360975	0.4	1.02439	141.669266	2.54	21.139999	13.287805	0.44	97.650002	13.16	NA	NA	NA	NA	NA	NA	36.829269	NA
S0177	GA02	JC057	008	1629687	637412	-35.0088	-39.436800000000005	49	4850	49.4	21.949	35.728001	NA	NA	NA	NA	220.8	0.01	0.5	0	0.02	2349.399902	2053.600098	250.731705	NA	3.86	0.61	3.24878	44.614635	0.0039	NA	0.17	0.868293	140.896591	2.5	17.559999	12.788293	0.09	93.779999	11.78	NA	NA	NA	NA	NA	NA	38.243904	NA
S0178	GA02	JC057	008	1629687	637403	-35.0088	-39.436800000000005	151	4850	152.2	16.334	35.797001	NA	2.268	1.481	NA	223.8	0.22	0.7	2	0.04	2351.5	2093.100098	NA	NA	2.13	0.47	4.107317	43.997074	0.0092	NA	2.71	0.536585	142.360977	2.71	16.93	12.878049	0.13	100.129997	12.21	NA	NA	NA	NA	NA	NA	39.785366	NA
S0179	GA02	JC057	009	1629701	639548	-32.0894	-37.45929000000001	10	4133	10.1	23.845	35.966999	NA	1.735	1.118	211.5	211.6	0	0.35	0	0	2357.199951	2044.800049	188.292679	NA	4.86	1.16	5.609756	40.856586	0.0198	19.434147	0.27	1.219512	146.153168	2.44	22.540001	12.697561	0.21	94.589996	12.68	NA	NA	NA	0.812976	2.130049	0.293576	37.10244	NA
S0180	GA02	JC057	009	1629701	639533	-32.0894	-37.45929000000001	149	4133	150.1	16.162	35.722	NA	2.399	1.512	NA	213.1	0.33	1.31	3.66	0.02	2343.800049	2101.399902	NA	NA	3.8	0.46	3.687805	37.496586	0.0085	NA	0.39	0.360976	144.709274	2.63	17.58	12.570732	0.06	97.089996	11.79	NA	NA	NA	NA	NA	NA	42.029266	NA
S0181	GA02	JC057	010	1629722	639692	-29.0579	-35.79599000000002	11	3852	11.1	24.1	35.686001	NA	1.706	1.119	209.800003	211.5	0	0.26	0	0.01	2341.100098	2032.900024	180.487808	NA	4.98	0.18	4.136585	38.107319	0.0037	23.414635	0.22	1.004878	144.160004	2.39	23.75	12.607805	0.19	88.620003	10.85	NA	NA	NA	NA	NA	NA	35.492683	NA
S0182	GA02	JC057	010	1629722	639686	-29.0579	-35.79599000000002	50	3852	50.3	20.131	35.838001	NA	2.114	1.346	NA	240.3	0	0.4	0	0	2352.899902	2054.399902	174.634155	NA	4.79	0.14	3.453659	37.944389	0.0033	NA	0.06	0.936585	147.698547	2.53	20.959999	12.611706999999999	0.14	91.349998	11.12	NA	NA	NA	NA	NA	NA	36.887806	NA
S0183	GA02	JC057	010	1629722	639677	-29.0579	-35.79599000000002	150	3852	151.1	15.95	35.700001	NA	2.397	1.523	NA	218	0.29	1.23	3.3	0.01	2346.199951	2099.5	NA	NA	2.4	-0.08	4.370732	41.219513	0.0121	NA	0.25	0.312195	144.170731	2.69	17.68	12.718049	0.12	98.010002	12.02	NA	NA	NA	NA	NA	NA	40.634148	NA
